,name,right_ascension,declination,constellation,Vmag
0,          ,0.0,45.0,,6.7
1,          ,0.0,0.0,,6.29
2, 33    Psc,0.0,5.0,Psc,4.61
3, 86    Peg,0.0,13.0,Peg,5.51
4,          ,0.0,58.0,,5.96
5,          ,0.0,49.0,,5.7
6, 10    Cas,0.0,64.0,Cas,5.59
7,          ,0.0,29.0,,6.13
8,          ,0.0,23.0,,6.18
9,          ,0.0,17.0,,6.19
10,          ,0.0,2.0,,6.43
11,          ,0.0,22.0,,5.94
12,          ,0.0,33.0,,5.68
13,          ,0.0,2.0,,6.07
14, 21Alp And,0.0,29.0,And,2.06
15,          ,0.0,8.0,,5.99
16,          ,0.0,36.0,,6.19
17,          ,0.0,17.0,,6.06
18,          ,0.0,25.0,,6.23
19,          ,0.0,79.0,,6.01
20, 11Bet Cas,0.0,59.0,Cas,2.27
21, 87    Peg,0.0,18.0,Peg,5.53
22,          ,0.0,54.0,,6.33
23,   Kap1Scl,0.0,27.0,Scl,5.42
24,   Eps Phe,0.0,45.0,Phe,3.88
25, 34    Psc,0.0,11.0,Psc,5.51
26, 22    And,0.0,46.0,And,5.03
27,          ,0.0,57.0,,6.74
28,          ,0.0,5.0,,5.84
29,   Gam3Oct,0.0,82.0,Oct,5.28
30,          ,0.0,12.0,,5.85
31,          ,0.0,73.0,,6.64
32,  6    Cet,0.0,15.0,Cet,4.89
33,   Kap2Scl,0.0,27.0,Scl,5.41
34,   The Scl,0.0,35.0,Scl,5.25
35,          ,0.0,48.0,,6.16
36,          ,0.0,17.0,,5.25
37,          ,0.0,37.0,,6.73
38, 88Gam Peg,0.0,15.0,Peg,2.83
39,          ,0.0,26.0,,6.3
40, 23    And,0.0,41.0,And,5.72
41,          ,0.0,26.0,,5.94
42,          ,0.0,26.0,,6.31
43,          ,0.0,33.0,,6.25
44, 89Chi Peg,0.0,20.0,Peg,4.8
45,          ,0.0,7.0,,5.12
46,          ,0.0,84.0,,5.77
47,  7    Cet,0.0,18.0,Cet,4.44
48,          ,0.0,22.0,,6.24
49, 35    Psc,0.0,8.0,Psc,5.79
50,          ,0.0,9.0,,5.75
51,          ,0.0,31.0,,6.45
52,          ,0.0,27.0,,6.35
53,          ,0.0,34.0,,6.17
54,          ,0.0,76.0,,6.35
55,          ,0.0,43.0,,6.15
56,          ,0.0,31.0,,5.67
57,          ,0.0,75.0,,6.49
58, 36    Psc,0.0,8.0,Psc,6.11
59,          ,0.0,61.0,,5.74
60,          ,0.0,20.0,,6.47
61,          ,0.0,47.0,,5.89
62, 24The And,0.0,38.0,And,4.61
63,          ,0.0,78.0,,6.77
64,          ,0.0,51.0,,6.14
65,          ,0.0,19.0,,6.45
66,          ,0.0,1.0,,6.17
67, 25Sig And,0.0,36.0,And,4.52
68,          ,0.0,11.0,,6.05
69, 26    And,0.0,43.0,And,6.11
70,          ,0.0,31.0,,5.87
71,          ,0.0,8.0,,6.46
72,          ,0.0,43.0,,6.33
73,  8Iot Cet,0.0,8.0,Cet,3.56
74,          ,0.0,40.0,,6.33
75,          ,0.0,48.0,,6.52
76,   Zet Tuc,0.0,64.0,Tuc,4.23
77,          ,0.0,30.0,,5.9
78,          ,0.0,32.0,,5.79
79, 41    Psc,0.0,8.0,Psc,5.37
80,          ,0.0,10.0,,6.56
81, 27Rho And,0.0,37.0,And,5.18
82,   Pi  Tuc,0.0,69.0,Tuc,5.51
83,   Iot Scl,0.0,28.0,Scl,5.18
84,          ,0.0,20.0,,5.12
85, 42    Psc,0.0,13.0,Psc,6.23
86,          ,0.0,77.0,,5.97
87,  9    Cet,0.0,12.0,Cet,6.39
88,          ,0.0,31.0,,6.55
89,          ,0.0,38.0,,7.39
90,          ,0.0,52.0,,5.57
91, NOVA 1572,-8888.0,-8888.0,572,-8888.0
92, 12    Cas,0.0,61.0,Cas,5.4
93,          ,0.0,2.0,,6.07
94, 47    Tuc,-8888.0,-8888.0,Tuc,-8888.0
95,          ,0.0,53.0,,5.74
96, 44    Psc,0.0,1.0,Psc,5.77
97,   Bet Hyi,0.0,77.0,Hyi,2.8
98,   Alp Phe,0.0,42.0,Phe,2.39
99,   Kap Phe,0.0,43.0,Phe,3.94
100, 10    Cet,0.0,0.0,Cet,6.19
101,          ,0.0,25.0,,5.98
102, 47    Psc,0.0,17.0,Psc,5.06
103,          ,0.0,44.0,,5.17
104,   Eta Scl,0.0,33.0,Scl,4.81
105, 48    Psc,0.0,16.0,Psc,6.06
106,          ,0.0,10.0,,6.04
107,          ,0.0,20.0,,6.43
108,          ,0.0,39.0,,5.43
109,          ,0.0,36.0,,6.26
110,          ,0.0,50.0,,6.26
111,          ,0.0,77.0,,6.21
112,          ,0.0,59.0,,5.94
113, 28    And,0.0,29.0,And,5.23
114,          ,0.0,14.0,,6.14
115,          ,0.0,32.0,,6.57
116, 12    Cet,0.0,3.0,Cet,5.72
117,          ,0.0,23.0,,5.19
118,          ,0.0,40.0,,6.19
119,          ,0.0,48.0,,5.69
120, 13    Cas,0.0,66.0,Cas,6.18
121,          ,0.0,33.0,,5.87
122, 14Lam Cas,0.0,54.0,Cas,4.73
123,          ,0.0,52.0,,5.6
124,   Lam1Phe,0.0,48.0,Phe,4.77
125,   Bet1Tuc,0.0,62.0,Tuc,4.37
126,   Bet2Tuc,0.0,62.0,Tuc,4.54
127,          ,0.0,43.0,,6.7
128,          ,0.0,70.0,,6.42
129, 15Kap Cas,0.0,62.0,Cas,4.16
130, 52    Psc,0.0,20.0,Psc,5.38
131, 51    Psc,0.0,6.0,Psc,5.67
132,          ,0.0,27.0,,6.67
133,          ,0.0,28.0,,6.3
134,          ,0.0,54.0,,5.93
135,   Bet3Tuc,0.0,63.0,Tuc,5.09
136, 16    Cas,0.0,66.0,Cas,6.48
137,          ,0.0,29.0,,5.55
138,   The Tuc,0.0,71.0,Tuc,6.13
139,          ,0.0,52.0,,5.57
140,          ,0.0,13.0,,6.4
141, 13    Cet,0.0,3.0,Cet,5.2
142, 14    Cet,0.0,0.0,Cet,5.93
143,          ,0.0,54.0,,5.08
144,          ,0.0,13.0,,6.41
145,          ,0.0,60.0,,5.79
146,   Lam2Phe,0.0,48.0,Phe,5.51
147,          ,0.0,54.0,,6.06
148,          ,0.0,27.0,,6.5
149,          ,0.0,14.0,,6.45
150,          ,0.0,22.0,,6.06
151,          ,0.0,44.0,,5.13
152, 17Zet Cas,0.0,53.0,Cas,3.66
153, 29Pi  And,0.0,33.0,And,4.36
154, 53    Psc,0.0,15.0,Psc,5.89
155,          ,0.0,24.0,,6.47
156,          ,0.0,35.0,,5.48
157,          ,0.0,82.0,,6.4
158,          ,0.0,24.0,,5.57
159,          ,0.0,65.0,,6.42
160,          ,0.0,3.0,,6.39
161,          ,0.0,54.0,,6.41
162, 30Eps And,0.0,29.0,And,4.37
163,          ,0.0,49.0,,5.43
164, 31Del And,0.0,30.0,And,3.27
165, 54    Psc,0.0,21.0,Psc,5.87
